DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC PERSONS REPORTED,20200423230658.000000000,20200423223000.000000000,20200423222211.000000000,20200423222011.000000000,20200423222114.000000000,20200423234716.000000000,DF-20-005069,226200,B,D7,306321,,1
FIRE/DOMESTIC,20200423215730.000000000,20200423215350.000000000,20200423215141.000000000,20200423214724.000000000,20200423215001.000000000,20200423220657.000000000,DF-20-005068,238838,C,D9,307130,,1
FIRE/DOMESTIC,20200423195455.000000000,20200423193514.000000000,20200423192654.000000000,20200423192311.000000000,20200423192531.000000000,20200423200405.000000000,DF-20-005062,224916,A,D12,318756,,1
FIRE/DOMESTIC,20200423135648.000000000,20200423134653.000000000,20200423134234.000000000,20200423133742.000000000,20200423134117.000000000,20200423141135.000000000,DF-20-005047,234088,C,D3,312696,,1
FIRE/CARAVAN,20200422211835.000000000,20200422205228.000000000,20200422204730.000000000,20200422204453.000000000,20200422204542.000000000,20200422212109.000000000,DF-20-005021,241427,D,D6,323553,,1
FIRE/DOMESTIC PERSONS REPORTED,20200422200826.000000000,20200422195904.000000000,20200422195814.000000000,20200422195618.000000000,20200422195729.000000000,20200422204255.000000000,DF-20-005018,231700,A,D1,315324,,1
FIRE/DOMESTIC,20200422201143.000000000,20200422193710.000000000,20200422193332.000000000,20200422193041.000000000,20200422193210.000000000,20200422201834.000000000,DF-20-005017,235332,C,D3,315858,,1
FIRE/DOMESTIC,20200422121421.000000000,20200422115727.000000000,20200422115010.000000000,20200422114830.000000000,20200422114858.000000000,20200422122515.000000000,DF-20-004988,226052,B,D7,308217,,1
FIRE/DOMESTIC PERSONS REPORTED,20200422041453.000000000,20200422035709.000000000,20200422035155.000000000,20200422034739.000000000,20200422034941.000000000,20200422041715.000000000,DF-20-004983,234679,D,D4,317783,,1
FIRE/DOMESTIC,20200421135521.000000000,20200421134419.000000000,20200421134141.000000000,20200421133715.000000000,20200421133939.000000000,20200421135946.000000000,DF-20-004964,234656,E,D10,316044,,1
FIRE/CARAVAN,20200419234635.000000000,20200419233433.000000000,20200419232910.000000000,20200419232615.000000000,20200419232736.000000000,20200419235132.000000000,DF-20-004918,230574,B,D7,304508,,1
FIRE/DOMESTIC,20200419220629.000000000,20200419214710.000000000,20200419214144.000000000,20200419213935.000000000,20200419214044.000000000,20200419221600.000000000,DF-20-004915,224221,A,D12,325131,,1
FIRE/UNDERGROUND,20200419194850.000000000,20200419194447.000000000,20200419194032.000000000,20200419193649.000000000,20200419193919.000000000,20200419200847.000000000,DF-20-004907,231606,B,D7,307093,,1
FIRE/DOMESTIC,20200419202127.000000000,20200419181742.000000000,20200419181336.000000000,20200419181151.000000000,20200419181258.000000000,20200419205916.000000000,DF-20-004901,239262,C,D9,307611,,1
FIRE/DOMESTIC,20200418164837.000000000,20200418164257.000000000,20200418163818.000000000,20200418163428.000000000,20200418163633.000000000,20200418165614.000000000,DF-20-004863,233790,B,D2,313875,,1
FIRE/DOMESTIC,20200417170606.000000000,20200417170149.000000000,20200417165855.000000000,20200417165631.000000000,20200417165720.000000000,20200417171628.000000000,DF-20-004827,235176,D,D4,317559,,1
FIRE/DOMESTIC,20200416235406.000000000,20200416234305.000000000,20200416233438.000000000,20200416233109.000000000,20200416233251.000000000,20200417000447.000000000,DF-20-004803,233397,B,D7,308479,,1
FIRE/DOMESTIC,20200416220106.000000000,20200416214811.000000000,20200416214019.000000000,20200416213715.000000000,20200416213825.000000000,20200416224359.000000000,DF-20-004794,233027,B,D7,308487,,1
FIRE/DOMESTIC,20200416221736.000000000,20200416213304.000000000,20200416212746.000000000,20200416212438.000000000,20200416212637.000000000,20200416222814.000000000,DF-20-004793,227568,A,D8,314238,,1
FIRE/DOMESTIC,20200416204706.000000000,20200416201951.000000000,20200416200430.000000000,20200416200046.000000000,20200416200310.000000000,20200416210345.000000000,DF-20-004786,259143,F,D23,311751,,1
FIRE/DOMESTIC PERSONS REPORTED,20200416041315.000000000,20200416040811.000000000,20200416040422.000000000,20200416040001.000000000,20200416040203.000000000,20200416041502.000000000,DF-20-004766,233790,B,D2,313875,,1
FIRE/DOMESTIC,20200415224222.000000000,20200415220324.000000000,20200415220312.000000000,20200415215817.000000000,20200415220133.000000000,20200415224629.000000000,DF-20-004751,233637,E,D10,315584,,1
FIRE/DOMESTIC,20200415180757.000000000,20200415175206.000000000,20200415174723.000000000,20200415174345.000000000,20200415174602.000000000,20200415181426.000000000,DF-20-004739,239162,D,D6,318816,,1
FIRE/DOMESTIC,20200415180121.000000000,20200415173155.000000000,20200415172650.000000000,20200415172151.000000000,20200415172557.000000000,20200415180402.000000000,DF-20-004738,228497,A,D12,324261,,1
FIRE/DOMESTIC,20200415103921.000000000,,20200415102419.000000000,20200415101956.000000000,20200415102242.000000000,20200415110159.000000000,DF-20-004729,227573,A,D8,316500,,1
FIRE/DOMESTIC PERSONS REPORTED,20200415040734.000000000,20200415034431.000000000,20200415034319.000000000,20200415033824.000000000,20200415034044.000000000,20200415041604.000000000,DF-20-004724,234692,B,D7,306410,,1
FIRE/DOMESTIC,20200414175626.000000000,20200414165713.000000000,20200414165110.000000000,20200414164750.000000000,20200414164932.000000000,20200414175627.000000000,DF-20-004694,263232,F,D23,320181,,1
FIRE/DOMESTIC,20200413141415.000000000,20200413135842.000000000,20200413135352.000000000,20200413135103.000000000,20200413135230.000000000,20200413141858.000000000,DF-20-004651,237888,D,D4,318270,,1
FIRE/DOMESTIC,20200413133354.000000000,20200413123849.000000000,20200413123218.000000000,20200413122926.000000000,20200413123107.000000000,20200413135748.000000000,DF-20-004650,249476,F,D13,313317,,1
FIRE/DOMESTIC PERSONS REPORTED,20200413114538.000000000,20200413111727.000000000,20200413111007.000000000,20200413110834.000000000,20200413110936.000000000,20200413125738.000000000,DF-20-004646,240259,D,D6,319370,,1
FIRE/DOMESTIC,20200412113056.000000000,20200412110423.000000000,20200412110036.000000000,20200412105337.000000000,20200412105808.000000000,20200412131413.000000000,DF-20-004620,240098,C,D9,308381,,1
FIRE/DOMESTIC,20200412033719.000000000,20200412032020.000000000,20200412031548.000000000,20200412031038.000000000,20200412031335.000000000,20200412034517.000000000,DF-20-004611,234031,E,D10,318543,,1
FIRE/DOMESTIC,20200412022836.000000000,20200412020712.000000000,20200412020417.000000000,20200412015703.000000000,20200412020126.000000000,20200412024400.000000000,DF-20-004607,235690,C,D3,315794,,1
FIRE/DOMESTIC PERSONS REPORTED,20200411224516.000000000,20200411200058.000000000,20200411195152.000000000,20200411194901.000000000,20200411195033.000000000,20200411231022.000000000,DF-20-004587,240098,C,D9,308381,,1
FIRE/DOMESTIC,20200411180042.000000000,20200411174930.000000000,20200411174110.000000000,20200411173816.000000000,20200411173942.000000000,20200411184725.000000000,DF-20-004579,232992,B,D7,309325,,1
