DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/CARAVAN,20170915223209.000000000,20170915221921.000000000,20170915220541.000000000,20170915220318.000000000,20170915220439.000000000,20170915223801.000000000,DF-17-015930,250943,F,D13,320204,,1
FIRE/DOMESTIC PERSONS REPORTED,20170915141830.000000000,20170915135723.000000000,20170915135231.000000000,20170915134859.000000000,20170915135106.000000000,20170915142917.000000000,DF-17-015903,234145,B,D2,314821,,1
FIRE/DOMESTIC,20170914210456.000000000,,20170914205254.000000000,20170914204941.000000000,20170914205204.000000000,20170914212700.000000000,DF-17-015880,233210,B,D7,309967,,1
FIRE/DOMESTIC,20170914200552.000000000,,20170914195055.000000000,20170914194743.000000000,20170914194930.000000000,20170914202759.000000000,DF-17-015868,246420,F,D13,322120,,1
FIRE/DOMESTIC PERSONS REPORTED,20170914083718.000000000,20170914071125.000000000,20170914070741.000000000,20170914070439.000000000,20170914070555.000000000,20170914091938.000000000,DF-17-015822,232429,B,D2,315616,,1
FIRE/DOMESTIC,20170914013137.000000000,20170914003943.000000000,20170914003436.000000000,20170914003121.000000000,20170914003242.000000000,20170914014127.000000000,DF-17-015811,228411,A,D8,319037,,1
FIRE/DOMESTIC,20170209072937.000000000,20170209062850.000000000,20170209062231.000000000,20170209061921.000000000,20170209062031.000000000,20170209074019.000000000,DF-17-002148,240742,C,D9,307089,,1
FIRE/DOMESTIC,20170208192930.000000000,20170208192136.000000000,20170208191725.000000000,20170208191500.000000000,20170208191633.000000000,20170208195619.000000000,DF-17-002139,238947,C,D9,307764,,1
FIRE/DOMESTIC,20170208051504.000000000,20170208032547.000000000,20170208032421.000000000,20170208032049.000000000,20170208032219.000000000,20170208051809.000000000,DF-17-002119,232485,B,D2,313563,,1
FIRE/DOMESTIC,20170207180039.000000000,20170207172950.000000000,20170207171938.000000000,20170207171440.000000000,20170207171803.000000000,20170207181253.000000000,DF-17-002107,234873,B,D7,307897,,1
FIRE/DOMESTIC,20170207122116.000000000,20170207111758.000000000,20170207111723.000000000,20170207111411.000000000,20170207111636.000000000,20170207123605.000000000,DF-17-002094,233908,E,D10,315818,,1
FIRE/DOMESTIC,20170207041955.000000000,20170207034715.000000000,20170207034049.000000000,20170207033828.000000000,20170207033925.000000000,20170207043026.000000000,DF-17-002088,230277,A,D1,320168,,1
FIRE/UNDERGROUND,20170206183825.000000000,20170206182225.000000000,20170206181757.000000000,20170206181321.000000000,20170206181637.000000000,20170206184258.000000000,DF-17-002055,227450,B,D7,307422,,1
FIRE/UNDERGROUND,20170206181353.000000000,20170206175611.000000000,20170206174611.000000000,20170206174156.000000000,20170206174405.000000000,20170206182756.000000000,DF-17-002050,223933,A,D12,321434,,1
FIRE/CARAVAN,20170205205312.000000000,20170205205020.000000000,20170205204413.000000000,20170205204231.000000000,20170205204324.000000000,20170205210607.000000000,DF-17-002017,232667,B,D2,310025,,1
FIRE/DOMESTIC,20170205181730.000000000,20170205172400.000000000,20170205171226.000000000,20170205170947.000000000,20170205171054.000000000,20170205182754.000000000,DF-17-002007,235358,B,D7,303573,,1
FIRE/DOMESTIC,20170205175633.000000000,20170205165959.000000000,20170205165523.000000000,20170205165248.000000000,20170205165354.000000000,20170205175634.000000000,DF-17-002006,239659,F,D5,315561,,1
FIRE/DOMESTIC,20170205005848.000000000,20170205005009.000000000,20170205004345.000000000,20170205004058.000000000,20170205004201.000000000,20170205010841.000000000,DF-17-001986,226418,B,D7,307218,,1
FIRE/DOMESTIC,20170204230039.000000000,20170204215337.000000000,20170204214916.000000000,20170204214636.000000000,20170204214752.000000000,20170204230624.000000000,DF-17-001976,227126,B,D7,307355,,1
FIRE/DOMESTIC,20170204212426.000000000,20170204204924.000000000,20170204204339.000000000,20170204204149.000000000,20170204204220.000000000,20170204213053.000000000,DF-17-001974,227126,B,D7,307355,,1
FIRE/DOMESTIC,20170203170516.000000000,20170203164128.000000000,20170203163501.000000000,20170203163303.000000000,20170203163348.000000000,20170203170650.000000000,DF-17-001902,226815,A,D12,326543,,1
FIRE/DOMESTIC PERSONS REPORTED,20170203121905.000000000,20170203120941.000000000,20170203120451.000000000,20170203120237.000000000,20170203120338.000000000,20170203134037.000000000,DF-17-001892,228072,B,D7,307026,,1
FIRE/DOMESTIC,20170203083409.000000000,,20170203082307.000000000,20170203081953.000000000,20170203082157.000000000,20170203085549.000000000,DF-17-001880,226537,A,D12,320653,,1
FIRE/DOMESTIC,20170203020849.000000000,20170203013247.000000000,20170203012349.000000000,20170203011813.000000000,20170203012055.000000000,20170203021617.000000000,DF-17-001876,227033,B,D7,301823,,1
FIRE/DOMESTIC,20170203010536.000000000,20170203005315.000000000,20170203005241.000000000,20170203004639.000000000,20170203005113.000000000,20170203021049.000000000,DF-17-001875,236680,D,D4,317221,,1
FIRE/DOMESTIC,20170202231641.000000000,20170202230652.000000000,20170202230244.000000000,20170202225619.000000000,20170202230109.000000000,20170202232718.000000000,DF-17-001872,232112,A,D1,316798,,1
FIRE/DOMESTIC PERSONS REPORTED,20161220034728.000000000,20161220031010.000000000,20161220030239.000000000,20161220025954.000000000,20161220030030.000000000,20161220042407.000000000,DF-16-022069,241074,C,D9,306757,,1
FIRE/DOMESTIC,20161220000325.000000000,20161219234902.000000000,20161219234606.000000000,20161219234420.000000000,20161219234513.000000000,20161220000614.000000000,DF-16-022064,237967,F,D5,312264,,1
FIRE/DOMESTIC PERSONS REPORTED,20161219012039.000000000,20161219010921.000000000,20161219010259.000000000,20161219005912.000000000,20161219010045.000000000,20161219012859.000000000,DF-16-022022,223312,A,D12,325351,,1
FIRE/DOMESTIC,20161218194501.000000000,20161218192457.000000000,20161218191550.000000000,20161218191309.000000000,20161218191408.000000000,20161218195617.000000000,DF-16-022002,256835,F,D24,326080,,1
FIRE/DOMESTIC PERSONS REPORTED,20161218173532.000000000,20161218171431.000000000,20161218171316.000000000,20161218171032.000000000,20161218171148.000000000,20161218174444.000000000,DF-16-021984,227208,A,D12,323701,,1
FIRE/DOMESTIC,20161217154421.000000000,20161217153938.000000000,20161217153226.000000000,20161217153007.000000000,20161217153124.000000000,20161217161508.000000000,DF-16-021913,240040,F,D5,316156,,1
FIRE/DOMESTIC,20161217131618.000000000,20161217131046.000000000,20161217130555.000000000,20161217130140.000000000,20161217130501.000000000,20161217132135.000000000,DF-16-021905,225324,A,D12,324440,,1
FIRE/DOMESTIC PERSONS REPORTED,20170914010801.000000000,20170913233744.000000000,20170913233254.000000000,20170913233002.000000000,20170913233135.000000000,20170914011305.000000000,DF-17-015806,229118,A,D1,320426,,1
FIRE/DOMESTIC,20170913164947.000000000,20170913153333.000000000,20170913152844.000000000,20170913152237.000000000,20170913152731.000000000,20170913164948.000000000,DF-17-015783,240842,F,D5,313976,,1
FIRE/DOMESTIC,,,,20170913135855.000000000,20170913135923.000000000,20170913135944.000000000,DF-17-015778,247349,F,D13,318106,,1
FIRE/DOMESTIC PERSONS REPORTED,20170913023003.000000000,20170913021050.000000000,20170913020744.000000000,20170913020314.000000000,20170913020525.000000000,20170913024536.000000000,DF-17-015764,232438,B,D2,315856,,1
FIRE/DOMESTIC,20170912222449.000000000,20170912220907.000000000,20170912220544.000000000,20170912220257.000000000,20170912220448.000000000,20170912222551.000000000,DF-17-015759,233009,B,D2,314372,,1
FIRE/DOMESTIC,20170912045102.000000000,20170912042736.000000000,20170912042641.000000000,20170912042150.000000000,20170912042239.000000000,20170912045218.000000000,DF-17-015715,232820,B,D2,313163,,1
FIRE/DOMESTIC PERSONS REPORTED,20170911213717.000000000,20170911204012.000000000,20170911203500.000000000,20170911203243.000000000,20170911203333.000000000,20170911214353.000000000,DF-17-015698,232209,B,D2,311555,,1
FIRE/DOMESTIC,,,,20170911132000.000000000,20170911132104.000000000,20170911133620.000000000,DF-17-015682,228211,A,D8,315777,,1
FIRE/DOMESTIC PERSONS REPORTED,20170910193613.000000000,20170910193438.000000000,20170910192638.000000000,20170910192317.000000000,20170910192517.000000000,20170910210432.000000000,DF-17-015657,225718,B,D7,308300,,1
FIRE/DOMESTIC,20170910102304.000000000,20170910101331.000000000,20170910100815.000000000,20170910100514.000000000,20170910100644.000000000,20170910102710.000000000,DF-17-015642,239326,C,D9,303741,,1
FIRE/DOMESTIC,20170910015905.000000000,20170910013603.000000000,20170910013113.000000000,20170910012552.000000000,20170910012744.000000000,20170910020240.000000000,DF-17-015627,234143,E,D10,317403,,1
FIRE/DOMESTIC,20170909205415.000000000,20170909200343.000000000,20170909195905.000000000,20170909195730.000000000,20170909195813.000000000,20170909205951.000000000,DF-17-015607,240768,F,D5,313713,,1
FIRE/DOMESTIC,20170909183314.000000000,20170909181609.000000000,20170909180814.000000000,20170909180626.000000000,20170909180732.000000000,20170909221704.000000000,DF-17-015604,234119,B,D7,306600,,1
FIRE/HIGHRISE BUILDINGS,20170909135902.000000000,20170909134053.000000000,20170909133310.000000000,20170909132721.000000000,20170909133114.000000000,20170909141844.000000000,DF-17-015593,226575,A,D12,318543,,1
FIRE/DOMESTIC PERSONS REPORTED,20170909123632.000000000,20170909111320.000000000,20170909110651.000000000,20170909110501.000000000,20170909110603.000000000,20170909123918.000000000,DF-17-015591,239229,C,D9,304664,,1
FIRE/CARAVAN,20170908210636.000000000,20170908210557.000000000,20170908210149.000000000,20170908205505.000000000,20170908210022.000000000,20170908213508.000000000,DF-17-015570,238808,F,D5,311902,,1
FIRE/DOMESTIC,20170908204527.000000000,20170908202905.000000000,20170908202218.000000000,20170908202055.000000000,20170908202132.000000000,20170908205133.000000000,DF-17-015567,233506,B,D7,306288,,1
FIRE/DOMESTIC,20170908224851.000000000,20170908194739.000000000,20170908194601.000000000,20170908194316.000000000,20170908194436.000000000,20170909001301.000000000,DF-17-015553,231600,B,D2,314801,,1
FIRE/DOMESTIC,20170907234638.000000000,20170907233409.000000000,20170907232638.000000000,20170907232439.000000000,20170907232547.000000000,20170907234641.000000000,DF-17-015520,233506,B,D7,306288,,1
FIRE/DOMESTIC,20170908013236.000000000,20170907195050.000000000,20170907194633.000000000,20170907194430.000000000,20170907194457.000000000,20170908014147.000000000,DF-17-015494,237126,D,D6,319636,,1
FIRE/DOMESTIC,20170906220701.000000000,20170906214906.000000000,20170906214453.000000000,20170906214044.000000000,20170906214331.000000000,20170906221537.000000000,DF-17-015457,237243,D,D6,320941,,1
FIRE/DOMESTIC,20170905202754.000000000,20170905202143.000000000,20170905201519.000000000,20170905201244.000000000,20170905201417.000000000,20170905204130.000000000,DF-17-015400,226386,B,D7,300883,,1
FIRE/DOMESTIC,20170905162507.000000000,20170905161824.000000000,20170905161531.000000000,20170905161156.000000000,20170905161404.000000000,20170905165732.000000000,DF-17-015384,234276,E,D10,315373,,1
FIRE/DOMESTIC PERSONS REPORTED,20170905153137.000000000,20170905143810.000000000,20170905143255.000000000,20170905143039.000000000,20170905143136.000000000,20170905164051.000000000,DF-17-015376,234485,C,D3,313757,,1
FIRE/DOMESTIC,20170905094633.000000000,20170905091310.000000000,20170905090309.000000000,20170905090050.000000000,20170905090149.000000000,20170905104345.000000000,DF-17-015364,239258,F,D5,313388,,1
FIRE/UNDERGROUND,20170904191727.000000000,20170904184251.000000000,20170904183950.000000000,20170904183559.000000000,20170904183756.000000000,20170904192856.000000000,DF-17-015330,230727,B,D7,306867,,1
FIRE/DOMESTIC,20170904064233.000000000,20170904051622.000000000,20170904051319.000000000,20170904051005.000000000,20170904051103.000000000,20170904064608.000000000,DF-17-015307,239090,D,D6,319736,,1
FIRE/DOMESTIC,20161216033115.000000000,20161216032044.000000000,20161216031456.000000000,20161216031254.000000000,20161216031403.000000000,20161216033417.000000000,DF-16-021858,238682,F,D5,313717,,1
FIRE/DOMESTIC,20161215202733.000000000,20161215182304.000000000,20161215181458.000000000,20161215181047.000000000,20161215181411.000000000,20161215203627.000000000,DF-16-021838,228627,A,D12,324302,,1
FIRE/DOMESTIC PERSONS REPORTED,20161215163252.000000000,,20161215162046.000000000,20161215161733.000000000,20161215161918.000000000,20161215170159.000000000,DF-16-021834,242198,C,D9,307344,,1
FIRE/DOMESTIC PERSONS REPORTED,20161215113040.000000000,20161215110919.000000000,20161215110312.000000000,20161215110031.000000000,20161215110158.000000000,20161215132742.000000000,DF-16-021829,227248,B,D7,305830,,1
FIRE/CARAVAN,20161215084827.000000000,20161215075304.000000000,20161215074935.000000000,20161215074608.000000000,20161215074732.000000000,20161215084856.000000000,DF-16-021806,239526,F,D5,311296,,1
FIRE/DOMESTIC,20161215061119.000000000,20161215055655.000000000,20161215054707.000000000,20161215054314.000000000,20161215054442.000000000,20161215061658.000000000,DF-16-021802,232353,B,D7,302760,,1
FIRE/DOMESTIC,20161214214543.000000000,20161214211301.000000000,20161214211020.000000000,20161214210818.000000000,20161214210905.000000000,20161214214803.000000000,DF-16-021785,228134,A,D8,316353,,1
FIRE/DOMESTIC,20161214214202.000000000,20161214204324.000000000,20161214203728.000000000,20161214203431.000000000,20161214203527.000000000,20161214214809.000000000,DF-16-021781,226882,B,D7,309984,,1
FIRE/DOMESTIC PERSONS REPORTED,20161214014231.000000000,20161214002002.000000000,20161214001127.000000000,20161214000907.000000000,20161214001005.000000000,20161214015609.000000000,DF-16-021739,224748,A,D12,320794,,1
FIRE/DOMESTIC,20161213230834.000000000,20161213225655.000000000,20161213225341.000000000,20161213225007.000000000,20161213225216.000000000,20161213231243.000000000,DF-16-021737,235658,E,D10,316527,,1
FIRE/CARAVAN,20161213223810.000000000,20161213214807.000000000,20161213214304.000000000,20161213213958.000000000,20161213214206.000000000,20161213224554.000000000,DF-16-021733,232667,B,D2,310025,,1
FIRE/DOMESTIC,20161213175304.000000000,20161213174400.000000000,20161213173456.000000000,20161213173213.000000000,20161213173317.000000000,20161213180030.000000000,DF-16-021722,263875,F,D23,318500,,1
FIRE/CARAVAN,20161212224356.000000000,20161212220441.000000000,20161212215854.000000000,20161212215658.000000000,20161212215736.000000000,20161212225623.000000000,DF-16-021699,226103,A,D8,312592,,1
FIRE/DOMESTIC,20161212213254.000000000,20161212211756.000000000,20161212211521.000000000,20161212211127.000000000,20161212211320.000000000,20161212213831.000000000,DF-16-021697,234912,D,D4,317932,,1
FIRE/DOMESTIC,20161212202340.000000000,20161212195956.000000000,20161212195217.000000000,20161212194922.000000000,20161212195052.000000000,20161212211322.000000000,DF-16-021686,250450,F,D13,323400,,1
FIRE/CARAVAN,20161212183441.000000000,20161212182229.000000000,20161212181230.000000000,20161212180942.000000000,20161212181131.000000000,20161212184607.000000000,DF-16-021675,232675,B,D2,310063,,1
FIRE/DOMESTIC PERSONS REPORTED,20161212164651.000000000,20161212145116.000000000,20161212144805.000000000,20161212144619.000000000,20161212144657.000000000,20161212164652.000000000,DF-16-021660,235637,C,D3,315804,,1
FIRE/DOMESTIC PERSONS REPORTED,20161211232219.000000000,20161211230758.000000000,20161211230533.000000000,20161211230237.000000000,20161211230328.000000000,20161211232233.000000000,DF-16-021629,235414,C,D3,315454,,1
FIRE/DOMESTIC PERSONS REPORTED,20161211183809.000000000,20161211180845.000000000,20161211175942.000000000,20161211175659.000000000,20161211175738.000000000,20161211205020.000000000,DF-16-021592,233139,B,D7,308782,,1
FIRE/DOMESTIC,20161211130734.000000000,20161211130137.000000000,20161211125931.000000000,20161211125645.000000000,20161211125801.000000000,20161211131222.000000000,DF-16-021567,235771,E,D10,316944,,1
FIRE/DOMESTIC,20161211120211.000000000,20161211110416.000000000,20161211105717.000000000,20161211105551.000000000,20161211105615.000000000,20161211121303.000000000,DF-16-021560,239324,D,D6,317380,,1
FIRE/DOMESTIC PERSONS REPORTED,20161211141926.000000000,20161211104600.000000000,20161211104201.000000000,20161211103933.000000000,20161211104036.000000000,20161211142817.000000000,DF-16-021559,235409,C,D3,315205,,1
FIRE/DOMESTIC,20161211044010.000000000,20161211035624.000000000,20161211034740.000000000,20161211034510.000000000,20161211034536.000000000,20161211044521.000000000,DF-16-021551,229343,A,D8,316016,,1
FIRE/DOMESTIC PERSONS REPORTED,20161210181647.000000000,20161210180242.000000000,20161210175038.000000000,20161210174653.000000000,20161210174845.000000000,20161210183249.000000000,DF-16-021523,263016,F,D23,321265,,1
FIRE/DOMESTIC,20161210165440.000000000,20161210154125.000000000,20161210153633.000000000,20161210153422.000000000,20161210153519.000000000,20161210170103.000000000,DF-16-021512,232821,A,D1,317949,,1
FIRE/DOMESTIC PERSONS REPORTED,20161209000620.000000000,20161208233507.000000000,20161208233014.000000000,20161208232816.000000000,20161208232911.000000000,20161209001806.000000000,DF-16-021451,231857,A,D1,315020,,1
FIRE/DOMESTIC PERSONS REPORTED,20170903233453.000000000,20170903232506.000000000,20170903232133.000000000,20170903231739.000000000,20170903232043.000000000,20170903235223.000000000,DF-17-015300,231043,B,D2,314698,,1
FIRE/UNDERGROUND,20170904000914.000000000,20170903230308.000000000,20170903225957.000000000,20170903225732.000000000,20170903225823.000000000,20170904001459.000000000,DF-17-015292,234872,D,D4,316740,,1
FIRE/DOMESTIC PERSONS REPORTED,20170903214155.000000000,20170903213453.000000000,20170903213046.000000000,20170903212816.000000000,20170903212931.000000000,20170903215253.000000000,DF-17-015283,239801,D,D6,319055,,1
FIRE/DOMESTIC,20170903135613.000000000,20170903133658.000000000,20170903132949.000000000,20170903132611.000000000,20170903132823.000000000,20170903140756.000000000,DF-17-015261,240410,F,D5,315558,,1
FIRE/DOMESTIC,20170903044950.000000000,20170903041911.000000000,20170903041012.000000000,20170903040333.000000000,20170903040800.000000000,20170903045449.000000000,DF-17-015252,227883,A,D8,313089,,1
FIRE/DOMESTIC,20170903023025.000000000,20170903020757.000000000,20170903020422.000000000,20170903020005.000000000,20170903020134.000000000,20170903023247.000000000,DF-17-015249,236911,D,D4,319128,,1
FIRE/DOMESTIC,20170903001236.000000000,20170902234831.000000000,20170902234538.000000000,20170902234222.000000000,20170902234327.000000000,20170903001455.000000000,DF-17-015243,233935,E,D10,317476,,1
FIRE/HIGHRISE BUILDINGS,20170902230439.000000000,20170902225429.000000000,20170902224757.000000000,20170902224549.000000000,20170902224653.000000000,20170902231332.000000000,DF-17-015241,240295,F,D5,315542,,1
FIRE/DOMESTIC PERSONS REPORTED,20170902173515.000000000,20170902170450.000000000,20170902165916.000000000,20170902165631.000000000,20170902165823.000000000,20170902174748.000000000,DF-17-015200,240482,F,D5,314800,,1
FIRE/CARAVAN,20170902165159.000000000,20170902164855.000000000,20170902164442.000000000,20170902164234.000000000,20170902164334.000000000,20170902165824.000000000,DF-17-015198,238646,F,D5,311460,,1
FIRE/CARAVAN,20170901220039.000000000,20170901213026.000000000,20170901212240.000000000,20170901211827.000000000,20170901212051.000000000,20170901220544.000000000,DF-17-015119,240681,D,D6,320543,,1
FIRE/DOMESTIC,20170901200525.000000000,20170901185422.000000000,20170901185105.000000000,20170901184816.000000000,20170901184919.000000000,20170901201152.000000000,DF-17-015093,235253,C,D3,313568,,1
FIRE/DOMESTIC,20170901123437.000000000,20170901120341.000000000,20170901115345.000000000,20170901115114.000000000,20170901115244.000000000,20170901123440.000000000,DF-17-015071,236194,C,D9,303455,,1
FIRE/DOMESTIC,20170831210746.000000000,20170831210726.000000000,20170831205630.000000000,20170831205303.000000000,20170831205513.000000000,20170831214136.000000000,DF-17-015053,227801,A,D12,323124,,1
FIRE/DOMESTIC,20170831164209.000000000,20170831151355.000000000,20170831151025.000000000,20170831150721.000000000,20170831150910.000000000,20170831164210.000000000,DF-17-015033,234884,D,D4,316347,,1
FIRE/DOMESTIC,20170831094240.000000000,20170831084849.000000000,20170831083505.000000000,20170831083102.000000000,20170831083313.000000000,20170831095152.000000000,DF-17-015021,235906,C,D9,302860,,1
FIRE/DOMESTIC,20170830210512.000000000,20170830210017.000000000,20170830205707.000000000,20170830205455.000000000,20170830205528.000000000,20170830211359.000000000,DF-17-015000,234761,E,D10,315428,,1
FIRE/DOMESTIC,20170830192111.000000000,20170830191757.000000000,20170830191408.000000000,20170830191124.000000000,20170830191301.000000000,20170830195519.000000000,DF-17-014989,238096,D,D6,321147,,1
FIRE/DOMESTIC,20170830115018.000000000,20170830112743.000000000,20170830112207.000000000,20170830111951.000000000,20170830112059.000000000,20170830152827.000000000,DF-17-014977,226485,A,D8,315910,,1
FIRE/UNDERGROUND,20170830072024.000000000,20170830065319.000000000,20170830065204.000000000,20170830064828.000000000,20170830064943.000000000,20170830072640.000000000,DF-17-014969,234823,E,D10,316780,,1
FIRE/HIGHRISE BUILDINGS,20170829170843.000000000,20170829164202.000000000,20170829163611.000000000,20170829163332.000000000,20170829163509.000000000,20170829171653.000000000,DF-17-014933,233853,B,D2,313605,,1
FIRE/DOMESTIC,20170829173100.000000000,20170829162311.000000000,20170829161856.000000000,20170829161326.000000000,20170829161645.000000000,20170829174655.000000000,DF-17-014923,245413,F,D13,322744,,1
FIRE/DOMESTIC PERSONS REPORTED,20170829030843.000000000,20170829024401.000000000,20170829024144.000000000,20170829023826.000000000,20170829024024.000000000,20170829041411.000000000,DF-17-014903,233145,B,D2,312997,,1
FIRE/DOMESTIC PERSONS REPORTED,20170829022005.000000000,20170829021252.000000000,20170829020702.000000000,20170829020417.000000000,20170829020531.000000000,20170829022634.000000000,DF-17-014902,238678,D,D6,318011,,1
FIRE/DOMESTIC,20170829014054.000000000,20170829001949.000000000,20170829001227.000000000,20170829000709.000000000,20170829001052.000000000,20170829015456.000000000,DF-17-014901,245413,F,D13,322744,,1
FIRE/DOMESTIC PERSONS REPORTED,20170828172830.000000000,20170828152411.000000000,20170828151527.000000000,20170828151150.000000000,20170828151423.000000000,20170828174414.000000000,DF-17-014879,245413,F,D13,322744,,1
FIRE/DOMESTIC,20161207180829.000000000,20161207175754.000000000,20161207175006.000000000,20161207174704.000000000,20161207174902.000000000,20161207182840.000000000,DF-16-021387,240833,D,D6,321524,,1
FIRE/DOMESTIC PERSONS REPORTED,20161206192926.000000000,20161206192712.000000000,20161206192140.000000000,20161206191441.000000000,20161206192037.000000000,20161206211338.000000000,DF-16-021360,227242,A,D8,317977,,1
FIRE/CARAVAN,20161206035741.000000000,20161206033222.000000000,20161206032601.000000000,20161206032242.000000000,20161206032332.000000000,20161206040243.000000000,DF-16-021337,226806,B,D7,306942,,1
FIRE/DOMESTIC,20161206012122.000000000,20161206011216.000000000,20161206010633.000000000,20161206010308.000000000,20161206010428.000000000,20161206013136.000000000,DF-16-021335,227308,B,D7,306320,,1
FIRE/DOMESTIC,20161205180942.000000000,,20161205180223.000000000,20161205175946.000000000,20161205180059.000000000,20161205183841.000000000,DF-16-021296,240629,D,D6,322821,,1
FIRE/DOMESTIC,20161205174637.000000000,20161205171338.000000000,20161205170405.000000000,20161205170014.000000000,20161205170219.000000000,20161205175549.000000000,DF-16-021290,254283,F,D24,320892,,1
FIRE/DOMESTIC,20161205055251.000000000,20161205052834.000000000,20161205052251.000000000,20161205051710.000000000,20161205051958.000000000,20161205055253.000000000,DF-16-021268,234639,D,D4,317919,,1
FIRE/DOMESTIC PERSONS REPORTED,20161205115239.000000000,20161205045213.000000000,20161205044232.000000000,20161205043847.000000000,20161205044038.000000000,20161205120133.000000000,DF-16-021264,246404,F,D13,315380,,1
FIRE/DOMESTIC,20161205041131.000000000,20161205035538.000000000,20161205034951.000000000,20161205034754.000000000,20161205034855.000000000,20161205043701.000000000,DF-16-021259,233650,E,D10,315633,,1
FIRE/DOMESTIC,20161205051317.000000000,20161205033931.000000000,20161205033513.000000000,20161205033209.000000000,20161205033309.000000000,20161205051318.000000000,DF-16-021258,234768,C,D3,314313,,1
FIRE/DOMESTIC PERSONS REPORTED,20161204214646.000000000,20161204214123.000000000,20161204213854.000000000,20161204213525.000000000,20161204213722.000000000,20161204221341.000000000,DF-16-021228,235422,C,D3,315437,,1
FIRE/DOMESTIC,20161204195917.000000000,20161204191937.000000000,20161204191451.000000000,20161204191259.000000000,20161204191342.000000000,20161204200500.000000000,DF-16-021219,228592,A,D12,324223,,1
FIRE/DOMESTIC,20161204162215.000000000,20161204161707.000000000,20161204161434.000000000,20161204161251.000000000,20161204161335.000000000,20161204162325.000000000,DF-16-021211,238698,F,D5,313754,,1
FIRE/DOMESTIC,20161204155808.000000000,20161204153628.000000000,20161204153136.000000000,20161204152925.000000000,20161204153034.000000000,20161204160602.000000000,DF-16-021206,238554,D,D6,319001,,1
FIRE/DOMESTIC,20161204125948.000000000,20161204124530.000000000,20161204123514.000000000,20161204123301.000000000,20161204123424.000000000,20161204131516.000000000,DF-16-021196,225121,A,D12,318832,,1
FIRE/DOMESTIC,20161204124835.000000000,20161204123647.000000000,20161204122646.000000000,20161204122414.000000000,20161204122546.000000000,20161204142502.000000000,DF-16-021195,227652,B,D7,308240,,1
FIRE/DOMESTIC,20161204035932.000000000,,20161204035208.000000000,20161204034815.000000000,20161204035000.000000000,20161204040836.000000000,DF-16-021186,227308,B,D7,306320,,1
FIRE/DOMESTIC,20161204040257.000000000,,20161204035211.000000000,20161204034516.000000000,20161204034840.000000000,20161204044444.000000000,DF-16-021185,227308,B,D7,306320,,1
FIRE/DOMESTIC,20161204063550.000000000,20161204031311.000000000,20161204031010.000000000,20161204030648.000000000,20161204030820.000000000,20161204064313.000000000,DF-16-021179,232658,A,D1,316025,,1
FIRE/DOMESTIC,20161203195148.000000000,20161203192919.000000000,20161203192311.000000000,20161203191918.000000000,20161203192150.000000000,20161203200432.000000000,DF-16-021160,239715,F,D5,315471,,1
FIRE/DOMESTIC,20161203204026.000000000,20161203182255.000000000,20161203181734.000000000,20161203181412.000000000,20161203181609.000000000,20161203205736.000000000,DF-16-021155,239311,C,D9,303388,,1
FIRE/DOMESTIC,20161203182230.000000000,20161203181004.000000000,20161203181003.000000000,20161203180656.000000000,20161203180849.000000000,20161203184602.000000000,DF-16-021154,226836,B,D7,306796,,1
FIRE/DOMESTIC,20161203063126.000000000,20161203061355.000000000,20161203060944.000000000,20161203060620.000000000,20161203060749.000000000,20161203063454.000000000,DF-16-021125,227266,A,D8,316148,,1
FIRE/DOMESTIC,20161202233323.000000000,20161202232830.000000000,20161202232336.000000000,20161202232036.000000000,20161202232157.000000000,20161202235339.000000000,DF-16-021119,227308,B,D7,306320,,1
FIRE/DOMESTIC,20161202192914.000000000,20161202191440.000000000,20161202191021.000000000,20161202190751.000000000,20161202190902.000000000,20161202193720.000000000,DF-16-021099,227002,B,D7,310676,,1
FIRE/DOMESTIC,20161202192336.000000000,20161202185541.000000000,20161202184712.000000000,20161202184431.000000000,20161202184550.000000000,20161202192345.000000000,DF-16-021095,263939,F,D23,319291,,1
FIRE/DOMESTIC,20161202141816.000000000,20161202140618.000000000,20161202140234.000000000,20161202140006.000000000,20161202140104.000000000,20161202142403.000000000,DF-16-021085,236368,C,D3,315493,,1
FIRE/DOMESTIC PERSONS REPORTED,20170828155448.000000000,20170828151437.000000000,20170828150750.000000000,20170828150532.000000000,20170828150633.000000000,20170828162806.000000000,DF-17-014878,229193,B,D7,311553,,1
FIRE/DOMESTIC,20170827213528.000000000,20170827212451.000000000,20170827211412.000000000,20170827211012.000000000,20170827211306.000000000,20170827214229.000000000,DF-17-014837,224664,A,D12,322903,,1
FIRE/DOMESTIC,20170827130411.000000000,20170827125028.000000000,20170827124406.000000000,20170827124219.000000000,20170827124248.000000000,20170827131057.000000000,DF-17-014800,240362,C,D9,305946,,1
FIRE/DOMESTIC,20170827025911.000000000,20170827024534.000000000,20170827024001.000000000,20170827023655.000000000,20170827023759.000000000,20170827030509.000000000,DF-17-014785,230924,B,D2,312874,,1
